Time,CO,NOx,HC_NOx,PM,Vibration,ExhaustTemp,Carbon Deposit Level
0,75.44422320464709,19.95518400216632,106.33575410977583,1.1443750305828029,0.8348542070649069,250.74012821366173,2
1,75.84043534698222,20.32577275348201,110.20944886901896,1.2177634014047147,0.8129156980193808,259.48019801883765,2
2,76.74389371153025,18.706516806379287,108.76968246027003,1.2180120721727021,0.8292766177383668,268.1240216463319,2
3,73.88458911127663,19.322270066458778,106.30310828047645,1.31416394661828,0.8122491205756794,273.78562831778953,2
4,72.92993225580025,21.715620762040757,114.36245745408566,1.3552752153144603,0.8145512374742199,270.0245135697985,2
5,73.75590886711313,22.996244806993623,115.27106619495991,1.295350664701634,0.8440836913578317,263.6289952047758,2
6,72.40036406276127,25.403764815733634,116.58712972719036,1.4318263693314803,0.8655933428665572,274.8606062299925,2
7,73.2071515409993,24.784129464810118,113.55095663176097,1.4341750381775784,0.9274197642345301,276.6531143491735,2
8,74.39806005480763,26.57298747404083,111.0790259465061,1.2787037293835242,0.9158300847718688,282.51951495728673,2
9,70.23323324881687,26.526052642889486,110.19827310751045,1.3368750061597887,0.9004715204024446,281.8347785903691,2
10,70.85347688579631,27.71238574538853,107.85736410179618,1.5571998017578015,0.9250595914551973,278.12736155478495,2
11,70.01156834523543,31.34784537717184,103.45071363629638,1.5263434719671687,0.9394331300178619,281.22605887001254,2
12,72.80502302023632,31.031383138248955,99.88905842739788,1.3980975561657365,0.9301488023949606,280.0706715835058,2
13,72.80319340069346,31.920740585219807,99.03490358186437,1.3066293412073051,0.9550808429057628,286.4399540301367,2
14,74.78850826118376,32.14110619358989,98.9655763759126,1.402043584731564,0.9705504988728058,289.9518453458762,2
15,79.77403633596784,34.255711662736864,95.6313228316628,1.2615073780918427,0.9492881988988537,297.40642149756866,2
16,79.22840637785086,33.5934891349358,96.33337826490533,1.2385835839614414,0.9477789524159091,299.6404317366883,2
17,76.74425994893599,33.5847659924056,94.9243124238459,1.1487715623169141,0.9316281163916327,298.31972558196605,2
18,75.86467112516684,36.25260592006089,85.78678356046318,1.1987312811682262,0.9661968132472518,301.35168076463634,2
19,74.3003462675285,37.323102647397135,84.17113633842602,1.3085191230864668,0.9928686272426915,306.5913238077176,2
20,72.14281976789151,35.97221473203475,88.72965773997481,1.1981392733744185,0.9657393354593147,311.4456009495812,2
21,72.76469926514051,34.29878069892418,92.65500283091814,1.2859127093462097,0.9352227010864151,313.6746689629195,2
22,71.13216261412992,33.83979160964061,89.16821530178368,1.25602642506984,0.949674911634391,318.92511664136873,2
23,70.03803326063593,30.676418044242723,88.47902197577561,1.360038244476616,0.9356677290132177,313.4916395243581,2
24,67.58574495573417,30.64617654635809,91.57422797810918,1.2895601564172023,0.9089613839908846,318.81352408237143,2
25,66.64201617521657,30.56796901946132,87.75698823530149,1.2657529155876543,0.8879987093164761,318.4659952784132,2
26,66.50505601521891,31.51261241948015,96.0718404219107,1.2149221481378916,0.910106248712334,316.58911234206295,2
27,65.2744492101057,30.484510463186997,95.140164710653,1.2682033292460466,0.9034492050590578,315.2326586650449,2
28,67.01815816702607,30.432556546731053,91.86735167959633,1.333530755876398,0.9352667615790682,315.90023394286266,2
29,66.34682001799536,26.61879285313558,96.82548570576533,1.4466449758375803,0.9281985463768713,314.9479302798323,2
30,65.23809343796725,24.31643484422923,95.07955699563686,1.4337475999006213,0.9210646978118452,312.46236291706964,2
31,66.53600419957937,26.700407847968606,98.05389852254447,1.3362955129670195,0.9412640731472964,312.15860870542286,2
32,66.92715202979629,25.10331037424921,101.6527973155629,1.411811260388613,0.9464568309303794,307.18879720472535,2
33,64.53090595626303,23.16786950477595,100.51911898238392,1.3185277075796573,0.9437491734624184,307.2885371976052,2
34,62.892448193552326,23.99517533031676,93.72488386234193,1.2599271654663562,0.9807702452783736,310.67783851203177,2
35,64.19737079320761,26.688163342868815,97.77106295122354,1.3526996693036262,0.9827467409389696,312.03824855203237,2
36,65.17954901403809,26.96016294538717,98.2548183228927,1.2978901967121277,0.9650408572980733,316.8555110069072,2
37,65.09641943814643,28.137529803745593,99.06651453446104,1.3098794449769469,0.9841949407578349,318.6626804823482,2
38,65.07486630323783,28.68091673964388,97.81196995999717,1.3453679058516241,1.0190650064040072,321.3624830590315,2
39,65.96150556201819,27.694364565888456,96.42050521395755,1.3315947880535486,0.9907341603461143,330.829043061231,2
40,63.48270386411091,27.79055329552078,95.37128079082571,1.2393734730850456,0.9765674321521869,331.067327382636,2
41,63.83803606545108,29.546741712349128,94.25105416790646,1.1869585624601615,0.9612758543935124,331.74505472031353,2
42,59.737085853836064,30.657733893316188,93.56949803631447,1.1956491304011816,0.9739221223710542,333.66650571696,2
43,58.98306429139705,32.69394345947812,98.40704459135249,1.1443538228638952,0.9764806274537049,345.27771159398384,2
44,58.79397470533454,31.88819655123581,100.34809838505296,1.145304618616388,0.9789725771392037,351.71044400496413,2
45,57.75594782670666,33.005979297093816,99.18242370168348,1.0379817457136462,0.9285557904360827,352.6590053258695,2
46,56.12641538481344,30.37301917415013,95.60237355175181,1.048292267093452,0.96068519174016,351.7221770726664,2
47,57.64381161986096,28.775627479069946,95.52143498541449,1.091062738478616,0.9623017891995514,353.0825941796342,2
48,57.620063765576226,28.92772468576466,95.6129064742454,1.0335881052223534,0.9558216992513061,352.38858870596516,2
49,57.462320250034416,26.7656483859679,93.4388825459988,1.274376465060758,0.9256489915083977,356.2499331412189,2
50,57.40704411884874,25.050536069951033,97.8129182650941,1.344543998865442,0.9142641458982179,361.31948710257797,2
51,58.55806160260812,25.316575538506115,92.67353110776892,1.3038900122482397,0.9083997276393607,359.8025348288152,2
52,60.50494656567825,22.948988353151687,100.41639573863486,1.1888294764320173,0.9111295150147837,372.63916074492835,2
53,58.57374227602339,23.475331436696408,94.95660857748949,1.093779652740725,0.912007252554311,379.59382234988175,2
